algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
Strict,100,1000,2,200,1.0,0.865475,0.8668069306930694
Strict,100,1000,2,200,1.0,0.8486549999999999,0.8501534653465346
Strict,100,1000,2,200,1.0,0.86155,0.8629207920792078
Strict,100,1000,2,200,1.0,0.829655,0.8313415841584161
Strict,100,1000,2,200,1.0,0.8550999999999996,0.8565346534653463
Strict,100,1000,2,200,1.0,0.858065,0.859470297029703
Strict,100,1000,2,200,1.0,0.8538950000000001,0.855341584158416
Strict,100,1000,2,200,1.0,0.8637649999999999,0.8651138613861385
Strict,100,1000,2,200,1.0,0.8362499999999998,0.8378712871287127
Strict,100,1000,2,200,1.0,0.8513950000000001,0.8528663366336634
Strict,100,1000,2,200,1.0,0.8497399999999999,0.8512277227722771
Strict,100,1000,2,200,1.0,0.8421449999999999,0.8437079207920791
Strict,100,1000,2,200,1.0,0.84367,0.845217821782178
Strict,100,1000,2,200,1.0,0.8489150000000001,0.8504108910891092
Strict,100,1000,2,200,1.0,0.867765,0.8690742574257427
Strict,100,1000,2,200,1.0,0.83906,0.8406534653465348
Strict,100,1000,2,200,1.0,0.8457749999999998,0.8473019801980198
Strict,100,1000,2,200,1.0,0.8380000000000001,0.8396039603960396
Strict,100,1000,2,200,1.0,0.8645200000000002,0.865861386138614
Strict,100,1000,2,200,1.0,0.8539950000000001,0.855440594059406
Strict,100,1000,2,200,1.0,0.85789,0.8592970297029705
Strict,100,1000,2,200,1.0,0.840195,0.8417772277227722
Strict,100,1000,2,200,1.0,0.8561500000000002,0.8575742574257429
Strict,100,1000,2,200,1.0,0.8607600000000001,0.8621386138613863
Strict,100,1000,2,200,1.0,0.8599050000000001,0.8612920792079211
Strict,100,1000,2,200,1.0,0.8586599999999999,0.860059405940594
Strict,100,1000,2,200,1.0,0.85368,0.8551287128712869
Strict,100,1000,2,200,1.0,0.84494,0.8464752475247524
Strict,100,1000,2,200,1.0,0.8423900000000002,0.8439504950495051
Strict,100,1000,2,200,1.0,0.8434950000000001,0.8450445544554458
Strict,100,1000,2,200,1.0,0.8659600000000001,0.8672871287128712
Strict,100,1000,2,200,1.0,0.8361850000000001,0.8378069306930693
Strict,100,1000,2,200,1.0,0.8590599999999996,0.8604554455445541
Strict,100,1000,2,200,1.0,0.85524,0.8566732673267327
Strict,100,1000,2,200,1.0,0.8508750000000002,0.8523514851485149
Strict,100,1000,2,200,1.0,0.8593000000000001,0.8606930693069306
Strict,100,1000,2,200,1.0,0.83025,0.831930693069307
Strict,100,1000,2,200,1.0,0.8647550000000002,0.8660940594059405
Strict,100,1000,2,200,1.0,0.8429749999999998,0.8445297029702971
Strict,100,1000,2,200,1.0,0.845625,0.8471534653465347
Strict,100,1000,2,200,1.0,0.8512199999999999,0.8526930693069307
Strict,100,1000,2,200,1.0,0.8530699999999999,0.8545247524752474
Strict,100,1000,2,200,1.0,0.8447149999999999,0.8462524752475248
Strict,100,1000,2,200,1.0,0.868755,0.8700544554455446
Strict,100,1000,2,200,1.0,0.845435,0.8469653465346534
Strict,100,1000,2,200,1.0,0.8471450000000001,0.8486584158415842
Strict,100,1000,2,200,1.0,0.8624200000000002,0.863782178217822
Strict,100,1000,2,200,1.0,0.8556800000000001,0.8571089108910891
Strict,100,1000,2,200,1.0,0.8717649999999998,0.8730346534653465
Strict,100,1000,2,200,1.0,0.861185,0.8625594059405939
Strict,100,1000,2,200,1.0,0.8544550000000001,0.8558960396039603
Strict,100,1000,2,200,1.0,0.8466750000000002,0.8481930693069307
Strict,100,1000,2,200,1.0,0.86197,0.8633366336633663
Strict,100,1000,2,200,1.0,0.839315,0.8409059405940594
Strict,100,1000,2,200,1.0,0.8414399999999997,0.8430099009900989
Strict,100,1000,2,200,1.0,0.8542500000000001,0.8556930693069308
Strict,100,1000,2,200,1.0,0.8565999999999998,0.858019801980198
Strict,100,1000,2,200,1.0,0.8355850000000001,0.8372128712871288
LinearFunctionPlayer,100,1000,2,200,0.5,0.9981300000000001,0.9714851485148516
LinearFunctionPlayer,100,1000,2,200,0.5,0.9982099999999999,0.9813960396039604
LinearFunctionPlayer,100,1000,2,200,0.5,0.9975799999999999,0.9737920792079208
LinearFunctionPlayer,100,1000,2,200,0.5,0.9978699999999999,0.9855049504950494
LinearFunctionPlayer,100,1000,2,200,0.5,0.99783,0.9886435643564354
LinearFunctionPlayer,100,1000,2,200,0.5,0.99722,0.9894356435643563
LinearFunctionPlayer,100,1000,2,200,0.5,0.9971900000000001,0.991
LinearFunctionPlayer,100,1000,2,200,0.5,0.9972999999999999,0.9784158415841582
LinearFunctionPlayer,100,1000,2,200,0.5,0.99808,0.9744752475247523
LinearFunctionPlayer,100,1000,2,200,0.5,0.99819,0.9935841584158415
LinearFunctionPlayer,100,1000,2,200,0.5,0.9979899999999999,0.9947821782178217
LinearFunctionPlayer,100,1000,2,200,0.5,0.99779,0.9870792079207918
LinearFunctionPlayer,100,1000,2,200,0.5,0.99739,0.969118811881188
LinearFunctionPlayer,100,1000,2,200,0.5,0.99747,0.9875940594059404
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977799999999999,0.9941980198019801
LinearFunctionPlayer,100,1000,2,200,0.5,0.99753,0.9845643564356436
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977499999999999,0.9752178217821783
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980699999999998,0.983108910891089
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977799999999999,0.9899405940594057
LinearFunctionPlayer,100,1000,2,200,0.5,0.9981300000000001,0.9908811881188118
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980200000000002,0.9847326732673264
LinearFunctionPlayer,100,1000,2,200,0.5,0.99751,0.9510297029702972
LinearFunctionPlayer,100,1000,2,200,0.5,0.99775,0.9711386138613861
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980499999999999,0.9835346534653464
LinearFunctionPlayer,100,1000,2,200,0.5,0.9983200000000001,0.9796336633663365
LinearFunctionPlayer,100,1000,2,200,0.5,0.9975899999999999,0.9662673267326733
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977399999999998,0.9905445544554454
